"Возраст";"Пол";"Состоит.в.браке";"Иждивенцы";"Доход";"Опыт.работы";"Срок.проживания";"Недвижимость";"Месячный.платеж";"Благонадежный.заемщик"
26;1;0;0;7000;8;15;28;5535;0
35;0;0;0;9000;9.5;7;0;3382;1
38;0;0;2;9500;13.5;7;32;4612;0
35;0;1;1;12500;16;10;0;4305;1
24;0;0;0;6000;6;5;23;3143;1
35;0;1;0;15500;17;25;33;4818;1
34;0;1;1;17000;12.5;19;0;2187;1
40;1;1;2;15500;17;2;0;7688;0
48;0;1;2;13000;9.5;17;4;4920;1
32;0;1;0;12500;14;5;0;7175;1
36;0;1;1;9000;13;16;0;1589;0
36;0;0;2;7200;4.5;4;88;3792;0
31;0;1;0;9000;12;6;6;2460;1
23;0;1;2;11500;5;17;68;2255;1
37;0;1;2;11500;14;6;0;4818;0
45;0;0;1;7500;26;33;43;3963;0
35;0;0;1;8500;17;26;0;1982;1
36;1;1;2;5500;4.5;32;0;4715;0
35;0;1;2;9500;16.5;13;9;4818;0
36;0;1;0;3200;10.5;13;0;6252;0
33;0;1;3;17900;11;6;0;1896;0
25;0;1;1;15000;7;5;0;4510;1
33;1;1;1;29500;15;6;36;5330;1
32;0;1;0;20500;14;2;0;8200;1
37;1;0;1;8500;13;22;0;4510;0
30;0;1;0;8000;12;4;0;5842;0
30;1;0;1;12000;12;9;4;4168;1
29;0;1;2;6200;11;25;0;1691;0
34;0;1;1;12000;15;2;47;6458;0
30;1;1;0;9500;12;24;0;5057;0
39;0;1;0;11400;17.5;6;0;4442;1
36;0;0;0;14000;13.5;33;0;3792;1
26;0;1;0;12100;8;6;0;3024;1
32;0;1;2;27600;13.5;8;0;2358;1
44;1;0;1;12800;21.5;11;40;6252;1
57;0;1;0;7500;28;17;34;3758;0
30;0;1;1;20700;12;6;0;8200;1
33;0;1;1;14500;15;25;13;4100;1
39;1;1;1;7000;21;4;0;5842;0
24;1;1;2;12700;6;6;0;3485;1
26;1;1;0;4700;8;3;34;2306;0
29;1;1;1;14500;11;27;47;1025;1
33;0;1;2;10000;10.5;19;0;3417;0
32;0;0;0;8500;14;9;0;5022;0
28;1;1;0;7500;10;15;0;2392;0
36;1;1;2;6500;18;30;0;5432;0
39;0;0;1;15500;19;2;39;4100;1
39;1;1;1;14600;17;39;0;3998;1
29;1;0;1;9200;11;16;0;2460;1
26;0;1;1;15500;8;5;0;2255;1
39;0;0;0;7600;19;6;0;3007;1
32;0;0;3;11000;14;17;0;3827;0
36;0;1;3;11500;15;25;32;3998;0
34;0;0;1;12000;6.5;5;0;3588;1
32;0;0;2;7500;14;2;36;6048;0
34;0;1;2;8800;16;3;12;2870;1
37;0;0;1;15000;12.5;2;0;7175;0
34;0;0;2;12500;6;7;41;4408;0
33;1;1;1;34300;15;3;0;5330;1
39;1;1;1;13000;20.5;21;0;3895;0
34;1;0;2;11500;13;2;38;4237;0
26;0;0;3;8000;4;7;0;4305;0
38;1;0;0;9000;14;12;40;5535;0
